"","pid.chr","annotation","first.i","last.i","min","max"
"1","20159.1","0breakpoints",2,200,44359,8428123
"2","20159.1","0breakpoints",599,675,24485913,27546652
"3","20159.1","1breakpoint",684,732,27901520,29808937
"4","20159.1","1breakpoint",738,774,30208164,31627637
"5","20159.1","1breakpoint",956,977,38902438,39745250
"6","20159.1","0breakpoints",978,1008,39789608,40987289
"7","20159.1","1breakpoint",1027,1054,41741384,42850347
"8","20159.1","1breakpoint",4456,4462,202212828,202434620
"9","20159.1","1breakpoint",4463,4467,202470107,202656413
"10","20159.1","1breakpoint",4819,4832,216966477,217463293
"11","20159.1","1breakpoint",4838,4856,217720572,218439181
