"","pid.chr","data.i","position","logratio"
"1","9.1",1,809681,-0.469929257774916
"2","9.1",2,928433,-0.222632890549587
"3","9.1",3,987423,-0.428565884123491
"4","9.1",4,1083595,-0.362157939675895
"5","9.1",5,1199359,-0.288064643021079
"6","9.1",6,1392490,-0.336427664582477
"7","9.1",7,1672814,-0.338250400189295
"8","9.1",8,1985786,-0.45600928033515
"9","9.1",9,2046695,-0.46394709975979
"10","9.1",10,2068186,-0.349235440883098
"11","9.1",11,2072530,-0.318325858207167
"12","9.1",12,2378492,-0.599462070416271
"13","9.1",13,2943835,-0.595096877854869
"14","9.1",14,3365311,-0.639354797539784
"15","9.1",15,3546987,-0.440263475567017
"16","9.1",16,3639062,-0.471928835421265
"17","9.1",17,3645385,-0.45600928033515
"18","9.1",18,4456209,4.7737853893639
"19","9.1",19,4646890,0.614474282837701
"20","9.1",20,4793883,-0.401634794676355
"21","9.1",21,5534815,-0.365871442474959
"22","9.1",22,5557203,-0.457989644463391
"23","9.1",23,5873030,-0.41888982477445
"24","9.1",24,6370039,-0.560642821525743
"25","9.1",25,6458990,-0.643856189774725
"26","9.1",26,6648786,-0.31114825613412
"27","9.1",27,6836934,-0.500217879852688
"28","9.1",28,6880413,-0.492078535042672
"29","9.1",29,7108117,-0.345564459154601
"30","9.1",30,7137589,-0.65744525452268
"31","9.1",31,7224460,-0.465938397578882
"32","9.1",32,7336849,-0.486004020632987
"33","9.1",33,7393449,-0.422752464406849
"34","9.1",34,7517106,-0.450084446378045
"35","9.1",35,7613809,-0.375197234747053
"36","9.1",36,7719430,-0.41119543298445
"37","9.1",37,7782841,-0.291592016516404
"38","9.1",38,7782952,-0.279283757478869
"39","9.1",39,7834595,-0.214240225572989
"40","9.1",40,7926121,-0.329159664118438
"41","9.1",41,7966197,-0.189351252217354
"42","9.1",42,8038045,-0.219269963523624
"43","9.1",43,8175040,-0.220950447162541
"44","9.1",44,8324178,-0.334607228958109
"45","9.1",45,8344307,-0.352915787371046
"46","9.1",46,8464652,-0.341902794648628
"47","9.1",47,8584536,-0.37894449670026
"48","9.1",48,8633850,-0.263611599296539
"49","9.1",49,8746359,-0.300448367476911
"50","9.1",50,8807848,-0.145605322246899
"51","9.1",51,8841404,-0.15200309344505
"52","9.1",52,8915132,-0.186064929518683
"53","9.1",53,8995312,-0.329159664118438
"54","9.1",54,9046448,-0.144010302691519
"55","9.1",55,9065970,-0.352915787371046
"56","9.1",56,9212882,-0.438307278601691
"57","9.1",57,9280950,-0.416962376203336
"58","9.1",58,9308185,-0.531156057025363
"59","9.1",59,9855442,-0.362157939675895
"60","9.1",60,10011488,-0.422752464406849
"61","9.1",61,10153212,-0.229382353343797
"62","9.1",62,10339947,-0.302226180444814
"63","9.1",63,10449569,-0.329159664118438
"64","9.1",64,10471639,0.661749599810705
"65","9.1",65,10511540,-0.375197234747053
"66","9.1",66,11116397,-0.318325858207167
"67","9.1",67,11248330,-0.340075441597622
"68","9.1",68,11326769,-0.399730246490995
"69","9.1",69,11562051,-0.461958546666336
"70","9.1",70,11656135,-0.481968507397831
"71","9.1",71,11843271,-0.200912693925996
"72","9.1",72,11874807,-0.343732465205711
"73","9.1",73,11949961,-0.232768962976124
"74","9.1",74,12106837,-0.438307278601691
"75","9.1",75,12189691,-0.345564459154601
"76","9.1",76,12481473,-0.428565884123491
"77","9.1",77,12856140,-0.556393348524385
"78","9.1",78,13864429,-0.302226180444814
"79","9.1",79,13976196,-0.467932447710969
"80","9.1",80,14045747,-0.516635639286651
"81","9.1",81,14418724,-0.564904848379903
"82","9.1",82,14461235,-0.539519529959989
"83","9.1",83,14638661,-0.533242384273829
"84","9.1",84,14898322,-0.529072742524873
"85","9.1",85,14939962,-0.554273296650016
"86","9.1",86,15064022,-0.552156355637915
"87","9.1",87,15367352,-0.477944250839036
"88","9.1",88,15478718,-0.531156057025363
"89","9.1",89,15607125,-0.45205668870965
"90","9.1",90,15758107,-0.343732465205711
"91","9.1",91,15758118,-0.236163541109049
"92","9.1",92,15862515,-0.207561069935362
"93","9.1",93,15880959,-0.394031641158542
"94","9.1",94,16049353,-0.176250639691727
"95","9.1",95,16210599,-0.340075441597622
"96","9.1",96,16244585,-0.469929257774916
"97","9.1",97,16267158,-0.488026018218199
"98","9.1",98,16345284,-0.340075441597622
"99","9.1",99,16434563,-0.360304766600418
"100","9.1",100,16522444,-0.300448367476911
"101","9.1",101,16672887,-0.397828209246621
"102","9.1",102,16766862,-0.365871442474959
"103","9.1",103,16771267,-0.375197234747053
"104","9.1",104,16892706,-0.610433188237274
