"","pid.chr","data.i","position","logratio"
"1","91.X",1,3121412,0.291603558030565
"2","91.X",2,4278697,0.301002256032814
"3","91.X",3,5972026,0.643394453479892
"4","91.X",4,6948065,0.478195257939166
"5","91.X",5,8031099,0.608809242675524
"6","91.X",6,9182290,0.687060688339892
"7","91.X",7,10323763,0.51500591643373
"8","91.X",8,11980669,0.529071299829111
"9","91.X",9,12873378,0.519038609600059
"10","91.X",10,14555545,0.804879608254673
"11","91.X",11,15438757,0.623866861852698
"12","91.X",12,16620451,0.3928669162308
"13","91.X",13,16829268,0.185232254230161
"14","91.X",14,19049299,0.32077347694587
"15","91.X",15,20807112,0.6535186707536
"16","91.X",16,21746368,0.585923976958601
"17","91.X",17,22210575,0.636914580355878
"18","91.X",18,22271216,0.400537929583729
"19","91.X",19,23398304,0.648925559453121
"20","91.X",20,24949709,0.446785562143122
"21","91.X",21,27285045,0.314986485468515
"22","91.X",22,28557269,0.336854639125465
"23","91.X",23,30553433,0.40381306161659
"24","91.X",24,31732242,0.368489000645104
"25","91.X",25,31989352,0.61635769699669
"26","91.X",26,32912424,0.444667066841908
"27","91.X",27,35699599,0.500802053057158
"28","91.X",28,37482927,0.658097205351372
"29","91.X",29,38265771,0.659924558402378
"30","91.X",30,39089746,0.658097205351372
"31","91.X",31,39768753,0.650764559116902
"32","91.X",32,42221163,0.509949146304311
"33","91.X",33,43484657,0.608809242675524
"34","91.X",34,47338334,0.375178479589612
"35","91.X",35,47392833,0.703986603863431
"36","91.X",36,48125803,0.284514133244245
"37","91.X",37,48418172,0.512985334813676
"38","91.X",38,49823605,0.722466024471091
"39","91.X",39,49841100,0.537047519404657
"40","91.X",40,51203531,0.415758666522498
"41","91.X",41,51376982,0.210388864445403
"42","91.X",42,52601413,0.696884090855455
"43","91.X",43,52730495,0.752748591407134
"44","91.X",44,55060778,0.265436896049098
"45","91.X",45,56554453,0.397255345594427
"46","91.X",46,57463958,0.13224779829844
"47","91.X",47,58356906,0.331131922217202
"48","91.X",48,62201745,0.507921464957328
"49","91.X",49,63305734,0.376290383337052
"50","91.X",50,64094784,0.324234562270531
"51","91.X",51,64895014,0.596458139558986
"52","91.X",52,66660957,0.303342394487331
"53","91.X",53,70378514,0.587845009254278
"54","91.X",54,70685957,0.31150311546827
"55","91.X",55,71675222,0.835115615258218
"56","91.X",56,73383622,0.740711733399101
"57","91.X",57,73386249,0.427606172781899
"58","91.X",58,75196106,0.0731347046302154
"59","91.X",59,75345977,0.356143810225275
"60","91.X",60,77305386,0.221567788538409
"61","91.X",61,79754657,0.314986485468515
"62","91.X",62,83477320,0.530070742225084
"63","91.X",63,85132394,0.305678743242287
"64","91.X",64,85166241,0.269033146455237
"65","91.X",65,88048959,0.510961919277379
"66","91.X",66,91001740,-0.428565884123491
"67","91.X",67,92433949,-0.0424567992428948
"68","91.X",68,93834915,0.0313951962755343
"69","91.X",69,95004596,0.14535138557262
"70","91.X",70,96097811,0.01292617444427
"71","91.X",71,97313004,0.0607391578576785
"72","91.X",72,99487991,0.0881415968690176
"73","91.X",73,100598236,-0.0649174766813385
"74","91.X",74,103097344,0.034215715337913
"75","91.X",75,106035865,-0.0350469470992008
"76","91.X",76,108913075,-0.0174170530774094
"77","91.X",77,110471521,0.172487515510134
"78","91.X",78,111312334,-0.0144995696951151
"79","91.X",79,114193684,0.153156788061421
"80","91.X",80,118204599,0.140124223909071
"81","91.X",81,119559243,0.116364756691785
"82","91.X",82,120853382,-0.0439433475875971
"83","91.X",83,122323125,0.177598929327733
"84","91.X",84,122462723,0.162210036314307
"85","91.X",85,123916715,-0.199255376063222
"86","91.X",86,125308911,0.150559676575381
"87","91.X",87,126886662,0.0827025893302493
"88","91.X",88,128469477,-0.0320936297098533
"89","91.X",89,130397692,0.167357927738514
"90","91.X",90,132394412,0.120351940365222
"91","91.X",91,132981070,0.308011314552178
"92","91.X",92,133511023,0.154453592679872
"93","91.X",93,134977692,0.116364756691785
"94","91.X",94,136227703,0.12300395405482
"95","91.X",95,137459411,0.0579700686373299
"96","91.X",96,138885636,0.0482361856528476
"97","91.X",97,140220569,0.171206827418142
"98","91.X",98,140315508,0.0200576523412535
"99","91.X",99,142014974,0.105678077894537
"100","91.X",100,142153776,0.0538064436957938
"101","91.X",101,142901669,0.0510240030244669
"102","91.X",102,144573706,-0.0232697793228472
"103","91.X",103,146508491,0.00288250853312137
"104","91.X",104,146949798,0.151858816727005
"105","91.X",105,147629645,0.10701824988212
"106","91.X",106,147635465,-0.00144341686966872
"107","91.X",107,147738476,-0.0800879113226919
"108","91.X",108,149524772,0.0313951962755343
"109","91.X",109,150972247,0.0908534304511135
"110","91.X",110,152845611,0.0482361856528476
"111","91.X",111,153111060,0.0786098346963665
"112","91.X",112,153111099,0.119024103142275
"113","91.X",113,153148973,0.0827025893302493
"114","91.X",114,153493200,0.0607391578576785
"115","91.X",115,154130710,0.0840642647884745
